amplitude,mean_x,mean_y,sigma_x,sigma_y,filename
16575.787038877414,292.0890496035467,548.8800184572652,9.640985530619478,7.008893055159398,cr1_0001p_00001.cbf
16810.740149379708,292.603887658206,549.0020295765183,9.575924034994864,6.963823278947851,cr1_0001p_00002.cbf
17227.135035934723,294.418408622422,548.7706587542544,9.41464331888764,7.187658566998973,cr1_0001p_00003.cbf
18175.243117975544,297.08763872752473,548.4116617220213,9.517157496783266,6.9635531537887765,cr1_0001p_00004.cbf
18184.55640662717,296.7230560839633,548.3518989140014,9.393340018109395,6.97412900090136,cr1_0001p_00005.cbf
17861.28083808154,295.3820961798925,548.537354098447,9.434118456652552,7.036854277140229,cr1_0001p_00006.cbf
17650.32667357339,294.3457302329893,548.7582686555628,9.49705640489893,7.04648486253344,cr1_0001p_00007.cbf
17913.33767334995,293.8784959384542,548.7247513287214,9.265265663731974,7.132781331811985,cr1_0001p_00008.cbf
17538.193140351475,294.7954520891833,548.7343051870272,9.364826351398015,7.126065586996598,cr1_0002p_00001.cbf
17573.622565010606,294.0444857876644,548.7726307691183,9.394144635626583,7.112208698709806,cr1_0002p_00002.cbf
17551.968143484723,293.6535095059171,548.6491469104536,9.287696801935482,7.113647935099314,cr1_0002p_00003.cbf
17459.670296678883,293.7068120246419,548.6649936832262,9.395307379249816,7.06353295200047,cr1_0002p_00004.cbf
17606.534043503514,293.76907095884167,548.6291649775288,9.468708029428893,7.007868484551172,cr1_0002p_00005.cbf
17792.89352951589,293.6999486526819,548.6595878265265,9.413833778822964,7.044810516546052,cr1_0002p_00006.cbf
17337.763782638107,293.9340293352934,548.6746253276428,9.419996051485272,7.073782030589696,cr1_0002p_00007.cbf
17705.055344385823,294.56431306532573,548.8059946027608,9.448192946808753,7.0849008875982085,cr1_0002p_00008.cbf
17444.24446717614,295.79963452664595,548.7751825467458,9.47661953188766,7.105680684872136,cr1_0003p_00001.cbf
17408.61144725092,294.7133527819609,548.7612066615541,9.478778823246564,7.069726930124055,cr1_0003p_00002.cbf
17341.468202761716,293.597601440912,548.7131553245961,9.257694703612584,7.06769076630514,cr1_0003p_00003.cbf
18010.83879753763,293.4534790230959,548.7650198987662,9.504380368139005,7.0231856883731,cr1_0003p_00004.cbf
9776.606986765755,294.45733918446297,547.0335280360173,10.086134781464764,7.812222248387762,cr1_0003p_00005.cbf
11078.555268553053,293.84054915867097,547.6953873821775,9.73175119451651,7.767436176577655,cr1_0003p_00006.cbf
10960.71155165646,294.13234145317097,547.9066693142499,9.791459692361238,7.76839129282083,cr1_0003p_00007.cbf
11141.712534241817,295.22046461840534,547.8390280716374,9.897485589816531,7.63699328339226,cr1_0003p_00008.cbf
14867.829376287442,296.0869072289055,548.8238950774007,10.263235692574993,7.428535495184167,cr1_0004p_00001.cbf
15108.277565119852,294.06323549086085,548.8911523102507,10.345414579180298,7.397190563579546,cr1_0004p_00002.cbf
14733.168575504804,292.68189249760064,548.8040482005783,10.381908616870469,7.4006162347627855,cr1_0004p_00003.cbf
14203.175013051845,291.791119773165,548.6228939461197,10.314195904064457,7.4091471570406195,cr1_0004p_00004.cbf
12918.582028568617,291.3687572238508,548.4954236898462,10.698223212686973,7.447808087422504,cr1_0004p_00005.cbf
12575.614142115975,292.06058911054976,548.4861531308791,10.744560238985422,7.483176306881777,cr1_0004p_00006.cbf
12776.335360766629,292.8205260180017,548.6313610981487,10.716408568145466,7.455211214651178,cr1_0004p_00007.cbf
12456.063824658886,294.103942262477,548.6518657902072,10.740458984322204,7.5335544347457954,cr1_0004p_00008.cbf
12958.15571729383,296.7111375085673,548.5274536278446,10.514434098084438,7.398690927264433,cr1_0005p_00001.cbf
12454.8026349318,294.6188493552854,548.6212927240201,10.690002747080554,7.514558321698199,cr1_0005p_00002.cbf
12866.145128590026,293.22176008398804,548.510254586109,10.585294396729743,7.493388486356243,cr1_0005p_00003.cbf
13143.433029704956,292.3631901855616,548.6001493127815,10.639511651389675,7.384869948339072,cr1_0005p_00004.cbf
13302.610540898451,291.8919996692755,548.415490617177,10.51530417380332,7.416983642767514,cr1_0005p_00005.cbf
13209.731155756452,292.2526287317222,548.5875343569425,10.50645445036134,7.383988493982154,cr1_0005p_00006.cbf
13314.32812668278,293.2145447150483,548.5207930310532,10.43757927190528,7.42317174286968,cr1_0005p_00007.cbf
13011.722363017969,294.5990886268377,548.5956701894207,10.36534037144014,7.475067943897782,cr1_0005p_00008.cbf
13255.93338650749,296.79346016196183,548.5801780765396,10.287432543667402,7.444584899597661,cr1_0006p_00001.cbf
13098.735882691251,295.1676187014629,548.6441150832059,10.467223447009165,7.443215740269463,cr1_0006p_00002.cbf
13124.381316271903,293.7841407700249,548.6166933239098,10.43121313349423,7.36552835729263,cr1_0006p_00003.cbf
13227.536016508811,292.73235711065803,548.6515422794207,10.535953935705706,7.382930047767372,cr1_0006p_00004.cbf
13295.342870249247,291.63074094173487,548.4273843923263,10.457283721952813,7.367049505870665,cr1_0006p_00005.cbf
