amplitude,mean_x,mean_y,sigma_x,sigma_y,filename
1113.7236435163707,291.59714977374625,546.4341630705459,16.02876036074426,12.73716343580615,cr1_0001p_00001.cbf
1127.742265395005,292.15228123054897,546.4498459601966,16.040902090281786,12.75384086689211,cr1_0001p_00002.cbf
1139.8487804994568,294.0211949995532,546.5782459139582,15.948175764257709,12.815885638539623,cr1_0001p_00003.cbf
1116.8333621449353,296.47355514075144,546.0232621501993,15.999075410490274,12.886607237207969,cr1_0001p_00004.cbf
1120.4744734791504,296.28206193566876,545.994962269389,16.052654633745313,12.928336842791124,cr1_0001p_00005.cbf
1119.1859115685274,294.83260905573957,546.2177562569416,16.05905847047707,12.961393408265453,cr1_0001p_00006.cbf
1125.113868302823,293.88140627079576,546.4193186534804,16.082472495119756,12.967151319037319,cr1_0001p_00007.cbf
1126.178188624204,293.64058485310943,546.5158731101401,16.003147772699382,12.962656716323236,cr1_0001p_00008.cbf
1125.617278033286,294.3757876537737,546.4376411902545,15.992050222793816,12.939192929062822,cr1_0002p_00001.cbf
1115.9670170774236,293.6851847580816,546.4703310386394,16.08816841370709,13.01684701931382,cr1_0002p_00002.cbf
1127.1800785621963,293.3503784111508,546.4880206365052,16.04618458788611,12.90169212784293,cr1_0002p_00003.cbf
1124.404274376941,293.2244285006832,546.4347079492686,16.074542110542627,12.91155795719316,cr1_0002p_00004.cbf
1135.729403718162,293.22588863648394,546.3753690214315,16.113070861779004,12.923693741318777,cr1_0002p_00005.cbf
1120.4587469203302,293.15935359668435,546.3508692038544,16.15834227029691,12.993836896991994,cr1_0002p_00006.cbf
1101.0428394641683,293.6315096944178,546.3061749386723,16.226761455431255,13.090435832674833,cr1_0002p_00007.cbf
1119.9492258049909,294.1056615125925,546.4068615544655,16.128494449655705,13.025415856654226,cr1_0002p_00008.cbf
1129.807852570387,295.3310882211396,546.2999859724557,15.990289564582447,12.93648868848487,cr1_0003p_00001.cbf
1118.2635429020208,294.13602026568685,546.4425635129845,16.04945589114195,12.959884870024238,cr1_0003p_00002.cbf
1111.7733614875613,293.14500434273083,546.41680622063,16.121827141017356,13.027305044076162,cr1_0003p_00003.cbf
1143.8228486181204,292.95150277523237,546.4436207686219,16.067424375052862,12.955664999199863,cr1_0003p_00004.cbf
1123.3466837498736,292.8750898367136,546.2380320911027,16.193884163818307,13.027468959218536,cr1_0003p_00005.cbf
1143.2052480527395,292.38946714367444,546.4234667499553,16.04811818364065,12.894470707207901,cr1_0003p_00006.cbf
1141.8682503029963,292.7067583366185,546.4663603852025,16.022949375499753,12.885356728090514,cr1_0003p_00007.cbf
1109.107629952506,293.6836829384832,546.4438853724143,16.075129753134824,13.02094706455016,cr1_0003p_00008.cbf
1136.2210780286923,295.83292238406324,546.2875895545254,15.96215647961944,12.956881715102092,cr1_0004p_00001.cbf
1147.193005876759,294.16547445111746,546.397553266695,15.890716544093566,12.896988061863423,cr1_0004p_00002.cbf
1134.114696361021,292.8657279004405,546.3636308214276,15.960650454723634,12.845701580053479,cr1_0004p_00003.cbf
1128.049939960533,291.9444124472644,546.3405269816371,16.044755424668494,12.852697964031746,cr1_0004p_00004.cbf
1140.2106426807643,291.22385677848234,546.3366003587444,15.967181776594513,12.80963681804922,cr1_0004p_00005.cbf
1128.476980821732,291.7651274192212,546.3166577444313,16.014023601387475,12.848817060367582,cr1_0004p_00006.cbf
1122.7926516961252,292.59484524132,546.324615938215,16.05295369115513,12.926105265221361,cr1_0004p_00007.cbf
1103.3034413339449,293.7551359081167,546.3404529884559,16.114282607205045,13.047183745776032,cr1_0004p_00008.cbf
1124.9702598285398,296.104346063877,546.2442644852905,15.97587827537907,12.971008040363648,cr1_0005p_00001.cbf
1101.2755888691217,294.38291706807513,546.2462563232909,16.038122319748414,12.998703598408202,cr1_0005p_00002.cbf
1129.473315696016,293.1323008824411,546.3002380190188,15.944535933754743,12.870910429665415,cr1_0005p_00003.cbf
1115.2082821096594,292.17594162753585,546.292652651998,16.083622127586963,12.879451311499674,cr1_0005p_00004.cbf
1116.6816283717392,291.9579279669392,546.1649622421205,16.121853360246277,12.802983751246451,cr1_0005p_00005.cbf
1126.6798939528237,292.12878318476965,546.2463269345507,16.02985416202633,12.777070848623286,cr1_0005p_00006.cbf
1116.3181364115906,292.92886304293967,546.2155582099588,16.046498218394508,12.890275798744726,cr1_0005p_00007.cbf
1105.6379563999965,294.3159825323222,546.2483151798291,16.077650460607153,12.955653066833046,cr1_0005p_00008.cbf
1134.5731654490146,296.38288026911914,546.1776239903243,15.897373312640235,12.861929073249641,cr1_0006p_00001.cbf
1116.4715097364192,294.7856964457822,546.1453455589977,15.994895083298566,12.950146037649189,cr1_0006p_00002.cbf
1098.4565739920781,293.48042267534413,546.1506032257332,16.145275221147415,12.976174326555526,cr1_0006p_00003.cbf
1108.0848723461727,292.5637978149957,546.1328679704106,16.215816839500658,12.951291038600477,cr1_0006p_00004.cbf
1100.3334994354736,291.72931182976833,546.015416211653,16.278786496549298,12.952903572621059,cr1_0006p_00005.cbf
1121.1820783798278,292.32816793641376,546.1747150670899,16.150761153184575,12.819499047609858,cr1_0006p_00006.cbf
1095.4841444399199,293.6051896391282,546.0718925453607,16.18875472224472,12.98829698709163,cr1_0006p_00007.cbf
1107.5096396693282,294.85584882521357,546.2018457635883,16.029048582168958,12.923528325170881,cr1_0006p_00008.cbf
1125.2483350432901,296.5428193678185,546.1269246674324,15.930223367558238,12.914785870314308,cr1_0007p_00001.cbf
1119.227149067822,295.16982314204074,546.1150205672086,16.01142382144954,12.925280136230205,cr1_0007p_00002.cbf
1112.8753340493736,294.09690032682823,546.0592626499308,16.09542202603246,12.851551009356179,cr1_0007p_00003.cbf
1110.0201793734975,293.14154773769803,545.9562845399714,16.132969644636475,12.831236164967411,cr1_0007p_00004.cbf
1121.31993023411,292.2836145522618,545.9407215339324,16.072633762553217,12.726948683155031,cr1_0007p_00005.cbf
1124.9351752611321,292.51315010859975,546.1449385609814,16.046770153418166,12.704787574351846,cr1_0007p_00006.cbf
1127.2507125112381,293.6785510348272,546.0644738694974,15.981236730562022,12.721919766554025,cr1_0007p_00007.cbf
1077.2347550134455,295.0873820177644,546.0951125666394,16.19164914729716,12.991469011832415,cr1_0007p_00008.cbf
1113.8551556742284,296.52299134246795,546.0628728919962,16.03652739491762,12.934492701151337,cr1_0008p_00001.cbf
1103.844385296547,295.23491553288665,546.0370771885399,16.09159751105528,12.953974093528672,cr1_0008p_00002.cbf
1113.616506349138,294.4646786635636,545.8805769524487,16.037784069809952,12.718037802478928,cr1_0008p_00003.cbf
1116.487376878696,293.82416402236754,545.7722346977877,16.008702085284735,12.61311411727962,cr1_0008p_00004.cbf
