filename,y_min,y_max,x_min,x_max,height,width,size
cr1_0044p_00001.cbf,532,562,278,318,30,40,1200
cr1_0044p_00002.cbf,532,561,279,319,29,40,1160
cr1_0044p_00003.cbf,532,561,279,319,29,40,1160
cr1_0044p_00004.cbf,532,561,280,320,29,40,1160
cr1_0044p_00005.cbf,532,561,280,320,29,40,1160
cr1_0044p_00006.cbf,532,561,280,320,29,40,1160
cr1_0044p_00007.cbf,532,561,281,320,29,39,1131
cr1_0044p_00008.cbf,532,561,279,319,29,40,1160
cr1_0045p_00001.cbf,533,562,279,318,29,39,1131
cr1_0045p_00002.cbf,532,561,279,319,29,40,1160
cr1_0045p_00003.cbf,532,561,279,319,29,40,1160
cr1_0045p_00004.cbf,532,561,280,319,29,39,1131
cr1_0045p_00005.cbf,532,561,280,320,29,40,1160
cr1_0045p_00006.cbf,532,561,281,321,29,40,1160
cr1_0045p_00007.cbf,532,561,281,321,29,40,1160
cr1_0045p_00008.cbf,532,561,279,319,29,40,1160
cr1_0046p_00001.cbf,532,561,279,318,29,39,1131
cr1_0046p_00002.cbf,532,561,279,319,29,40,1160
cr1_0046p_00003.cbf,532,561,279,319,29,40,1160
cr1_0046p_00004.cbf,532,560,280,320,28,40,1120
cr1_0046p_00005.cbf,532,560,280,320,28,40,1120
cr1_0046p_00006.cbf,532,561,282,321,29,39,1131
cr1_0046p_00007.cbf,532,561,281,321,29,40,1160
cr1_0046p_00008.cbf,532,561,279,319,29,40,1160
cr1_0047p_00001.cbf,532,561,279,319,29,40,1160
cr1_0047p_00002.cbf,532,561,279,319,29,40,1160
cr1_0047p_00003.cbf,532,561,280,319,29,39,1131
cr1_0047p_00004.cbf,532,560,281,320,28,39,1092
cr1_0047p_00005.cbf,532,560,281,322,28,41,1148
cr1_0047p_00006.cbf,532,561,283,323,29,40,1160
cr1_0047p_00007.cbf,532,561,282,322,29,40,1160
cr1_0047p_00008.cbf,532,561,280,319,29,39,1131
cr1_0048p_00001.cbf,532,561,279,319,29,40,1160
cr1_0048p_00002.cbf,532,561,279,319,29,40,1160
cr1_0048p_00003.cbf,532,561,280,320,29,40,1160
cr1_0048p_00004.cbf,532,561,281,321,29,40,1160
cr1_0048p_00005.cbf,532,561,282,322,29,40,1160
cr1_0048p_00006.cbf,532,561,283,323,29,40,1160
cr1_0048p_00007.cbf,532,561,283,323,29,40,1160
cr1_0048p_00008.cbf,533,562,281,320,29,39,1131
cr1_0049p_00001.cbf,533,562,279,319,29,40,1160
cr1_0049p_00002.cbf,533,562,280,319,29,39,1131
cr1_0049p_00003.cbf,533,561,281,320,28,39,1092
cr1_0049p_00004.cbf,532,561,282,322,29,40,1160
cr1_0049p_00005.cbf,532,561,282,322,29,40,1160
cr1_0049p_00006.cbf,532,562,283,323,30,40,1200
cr1_0049p_00007.cbf,533,562,282,322,29,40,1160
cr1_0049p_00008.cbf,533,562,281,320,29,39,1131
cr1_0050p_00001.cbf,533,562,280,320,29,40,1160
cr1_0050p_00002.cbf,533,562,280,320,29,40,1160
cr1_0050p_00003.cbf,533,562,280,320,29,40,1160
cr1_0050p_00004.cbf,533,561,281,321,28,40,1120
cr1_0050p_00005.cbf,533,562,281,321,29,40,1160
cr1_0050p_00006.cbf,533,562,282,322,29,40,1160
cr1_0050p_00007.cbf,533,562,282,322,29,40,1160
cr1_0050p_00008.cbf,533,562,281,320,29,39,1131
cr1_0051p_00001.cbf,533,562,280,320,29,40,1160
cr1_0051p_00002.cbf,533,562,280,320,29,40,1160
cr1_0051p_00003.cbf,533,562,280,320,29,40,1160
cr1_0051p_00004.cbf,533,561,281,321,28,40,1120
cr1_0051p_00005.cbf,533,562,280,320,29,40,1160
cr1_0051p_00006.cbf,533,562,282,321,29,39,1131
cr1_0051p_00007.cbf,533,562,282,322,29,40,1160
cr1_0051p_00008.cbf,533,562,281,321,29,40,1160
cr1_0052p_00001.cbf,533,562,281,321,29,40,1160
cr1_0052p_00002.cbf,533,562,280,320,29,40,1160
cr1_0052p_00003.cbf,533,562,280,320,29,40,1160
cr1_0052p_00004.cbf,533,562,280,320,29,40,1160
cr1_0052p_00005.cbf,533,563,280,320,30,40,1200
cr1_0052p_00006.cbf,533,563,281,321,30,40,1200
cr1_0052p_00007.cbf,533,563,282,322,30,40,1200
cr1_0052p_00008.cbf,533,563,282,321,30,39,1170
cr1_0053p_00001.cbf,533,563,282,321,30,39,1170
cr1_0053p_00002.cbf,533,563,281,321,30,40,1200
cr1_0053p_00003.cbf,533,562,281,320,29,39,1131
cr1_0053p_00004.cbf,533,562,280,320,29,40,1160
cr1_0053p_00005.cbf,533,562,280,320,29,40,1160
cr1_0053p_00006.cbf,533,563,281,321,30,40,1200
cr1_0053p_00007.cbf,533,563,282,321,30,39,1170
cr1_0053p_00008.cbf,533,563,282,321,30,39,1170
cr1_0054p_00001.cbf,533,563,281,321,30,40,1200
cr1_0054p_00002.cbf,533,563,282,320,30,38,1140
cr1_0054p_00003.cbf,533,562,281,320,29,39,1131
cr1_0054p_00004.cbf,533,562,281,320,29,39,1131
cr1_0054p_00005.cbf,533,562,282,320,29,38,1102
cr1_0054p_00006.cbf,533,562,283,322,29,39,1131
cr1_0054p_00007.cbf,533,562,283,322,29,39,1131
cr1_0054p_00008.cbf,533,563,282,321,30,39,1170
cr1_0055p_00001.cbf,533,563,282,321,30,39,1170
cr1_0055p_00002.cbf,533,563,282,321,30,39,1170
cr1_0055p_00003.cbf,533,562,282,320,29,38,1102
cr1_0055p_00004.cbf,533,562,282,321,29,39,1131
cr1_0055p_00005.cbf,533,562,283,321,29,38,1102
cr1_0055p_00006.cbf,533,562,284,322,29,38,1102
cr1_0055p_00007.cbf,533,562,284,322,29,38,1102
cr1_0055p_00008.cbf,533,563,282,321,30,39,1170
cr1_0056p_00001.cbf,533,563,283,321,30,38,1140
cr1_0056p_00002.cbf,533,563,283,321,30,38,1140
cr1_0056p_00003.cbf,533,562,283,321,29,38,1102
cr1_0056p_00004.cbf,532,562,284,322,30,38,1140
cr1_0056p_00005.cbf,532,562,285,323,30,38,1140
cr1_0056p_00006.cbf,532,562,285,323,30,38,1140
cr1_0056p_00007.cbf,533,562,285,323,29,38,1102
cr1_0056p_00008.cbf,533,563,283,321,30,38,1140
cr1_0057p_00001.cbf,533,563,283,320,30,37,1110
cr1_0057p_00002.cbf,533,563,283,321,30,38,1140
cr1_0057p_00003.cbf,532,562,284,322,30,38,1140
cr1_0057p_00004.cbf,532,562,285,323,30,38,1140
cr1_0057p_00005.cbf,532,562,286,324,30,38,1140
cr1_0057p_00006.cbf,532,562,286,323,30,37,1110
cr1_0057p_00007.cbf,533,562,285,323,29,38,1102
cr1_0057p_00008.cbf,533,563,283,321,30,38,1140
cr1_0058p_00001.cbf,533,563,283,320,30,37,1110
cr1_0058p_00002.cbf,533,563,283,321,30,38,1140
cr1_0058p_00003.cbf,533,562,284,321,29,37,1073
cr1_0058p_00004.cbf,532,562,285,322,30,37,1110
cr1_0058p_00005.cbf,532,561,285,323,29,38,1102
cr1_0058p_00006.cbf,532,562,285,323,30,38,1140
cr1_0058p_00007.cbf,533,562,285,322,29,37,1073
cr1_0058p_00008.cbf,533,563,283,321,30,38,1140
cr1_0059p_00001.cbf,533,563,283,320,30,37,1110
cr1_0059p_00002.cbf,533,562,283,321,29,38,1102
cr1_0059p_00003.cbf,533,562,284,321,29,37,1073
cr1_0059p_00004.cbf,532,562,285,322,30,37,1110
cr1_0059p_00005.cbf,532,561,286,323,29,37,1073
cr1_0059p_00006.cbf,533,562,286,324,29,38,1102
cr1_0059p_00007.cbf,532,562,285,323,30,38,1140
cr1_0059p_00008.cbf,533,562,283,321,29,38,1102
cr1_0060p_00001.cbf,532,563,283,320,31,37,1147
cr1_0060p_00002.cbf,533,563,283,321,30,38,1140
cr1_0060p_00003.cbf,532,562,284,321,30,37,1110
cr1_0060p_00004.cbf,533,562,285,323,29,38,1102
cr1_0060p_00005.cbf,533,562,286,324,29,38,1102
