,filename,y_min,y_max,x_min,x_max,height,width,size
13373,cr1_1672p_00006.cbf,483,599,239,368,116,129,14964
13374,cr1_1672p_00007.cbf,482,602,240,372,120,132,15840
13375,cr1_1672p_00008.cbf,482,599,242,369,117,127,14859
13376,cr1_1673p_00001.cbf,481,601,242,369,120,127,15240
13377,cr1_1673p_00002.cbf,481,601,241,369,120,128,15360
13378,cr1_1673p_00003.cbf,483,599,242,372,116,130,15080
13379,cr1_1673p_00004.cbf,476,610,231,382,134,151,20234
13380,cr1_1673p_00005.cbf,485,599,237,367,114,130,14820
13381,cr1_1673p_00006.cbf,483,599,241,369,116,128,14848
13382,cr1_1673p_00007.cbf,480,601,240,370,121,130,15730
13383,cr1_1673p_00008.cbf,482,599,240,369,117,129,15093
13384,cr1_1674p_00001.cbf,481,602,240,372,121,132,15972
13385,cr1_1674p_00002.cbf,480,602,242,371,122,129,15738
13386,cr1_1674p_00003.cbf,475,614,234,382,139,148,20572
13387,cr1_1674p_00004.cbf,482,598,238,370,116,132,15312
13388,cr1_1674p_00005.cbf,472,610,231,379,138,148,20424
13389,cr1_1674p_00006.cbf,483,599,240,368,116,128,14848
13390,cr1_1674p_00007.cbf,482,600,241,369,118,128,15104
13391,cr1_1674p_00008.cbf,481,602,240,370,121,130,15730
13392,cr1_1675p_00001.cbf,483,601,240,371,118,131,15458
13393,cr1_1675p_00002.cbf,483,601,242,369,118,127,14986
13394,cr1_1675p_00003.cbf,481,600,240,370,119,130,15470
13395,cr1_1675p_00004.cbf,484,598,241,371,114,130,14820
13396,cr1_1675p_00005.cbf,484,599,239,371,115,132,15180
13397,cr1_1675p_00006.cbf,485,600,239,368,115,129,14835
13398,cr1_1675p_00007.cbf,482,600,240,369,118,129,15222
13399,cr1_1675p_00008.cbf,484,601,242,369,117,127,14859
13400,cr1_1676p_00001.cbf,484,599,241,368,115,127,14605
13401,cr1_1676p_00002.cbf,483,602,239,371,119,132,15708
13402,cr1_1676p_00003.cbf,484,602,239,370,118,131,15458
13403,cr1_1676p_00004.cbf,482,597,239,370,115,131,15065
13404,cr1_1676p_00005.cbf,484,596,241,369,112,128,14336
13405,cr1_1676p_00006.cbf,469,609,232,377,140,145,20300
13406,cr1_1676p_00007.cbf,482,600,240,370,118,130,15340
13407,cr1_1676p_00008.cbf,481,605,240,369,124,129,15996
13408,cr1_1677p_00001.cbf,484,600,240,369,116,129,14964
13409,cr1_1677p_00002.cbf,481,600,241,370,119,129,15351
13410,cr1_1677p_00003.cbf,481,598,242,369,117,127,14859
13411,cr1_1677p_00004.cbf,483,601,239,369,118,130,15340
13412,cr1_1677p_00005.cbf,482,599,239,369,117,130,15210
13413,cr1_1677p_00006.cbf,481,599,239,370,118,131,15458
13414,cr1_1677p_00007.cbf,482,600,240,369,118,129,15222
13415,cr1_1677p_00008.cbf,485,600,240,368,115,128,14720
13416,cr1_1678p_00001.cbf,481,600,241,371,119,130,15470
13417,cr1_1678p_00002.cbf,484,602,241,371,118,130,15340
13418,cr1_1678p_00003.cbf,482,600,240,368,118,128,15104
13419,cr1_1678p_00004.cbf,484,599,242,368,115,126,14490
13420,cr1_1678p_00005.cbf,483,598,240,370,115,130,14950
13421,cr1_1678p_00006.cbf,482,600,241,368,118,127,14986
13422,cr1_1678p_00007.cbf,482,599,240,370,117,130,15210
13423,cr1_1678p_00008.cbf,483,601,242,371,118,129,15222
13424,cr1_1679p_00001.cbf,473,610,232,377,137,145,19865
13425,cr1_1679p_00002.cbf,484,600,242,372,116,130,15080
13426,cr1_1679p_00003.cbf,485,602,242,369,117,127,14859
13427,cr1_1679p_00004.cbf,485,597,239,369,112,130,14560
13428,cr1_1679p_00005.cbf,483,597,240,367,114,127,14478
13429,cr1_1679p_00006.cbf,482,597,241,367,115,126,14490
13430,cr1_1679p_00007.cbf,484,599,241,368,115,127,14605
13431,cr1_1679p_00008.cbf,481,599,239,370,118,131,15458
13432,cr1_1680p_00001.cbf,481,602,241,369,121,128,15488
13433,cr1_1680p_00002.cbf,481,599,240,372,118,132,15576
13434,cr1_1680p_00003.cbf,484,600,239,372,116,133,15428
13435,cr1_1680p_00004.cbf,483,598,239,369,115,130,14950
13436,cr1_1680p_00005.cbf,477,600,239,370,123,131,16113
13437,cr1_1680p_00006.cbf,470,610,232,376,140,144,20160
13438,cr1_1680p_00007.cbf,484,602,241,370,118,129,15222
13439,cr1_1680p_00008.cbf,482,600,241,368,118,127,14986
13440,cr1_1681p_00001.cbf,483,600,241,368,117,127,14859
13441,cr1_1681p_00002.cbf,481,602,240,369,121,129,15609
13442,cr1_1681p_00003.cbf,474,610,233,381,136,148,20128
13443,cr1_1681p_00004.cbf,473,606,233,379,133,146,19418
13444,cr1_1681p_00005.cbf,482,598,238,369,116,131,15196
13445,cr1_1681p_00006.cbf,472,607,228,380,135,152,20520
